scope,start_n,length,total_windows,alphabet_1_2_windows,critical_sturmian_windows,sturmian_complexity,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
TIER_B_TOP100_CRITICAL_LIKE,954961,32,44,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,954961,64,12,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,906469,8,63,22,6,9,26,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,906469,16,55,11,0,17,26,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,906469,32,39,0,0,33,26,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,906469,64,7,0,0,65,26,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,894265,8,75,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,894265,16,67,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,894265,32,51,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,894265,64,19,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,860445,8,58,17,6,9,21,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860445,16,50,6,0,17,21,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860445,32,34,0,0,33,21,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860445,64,2,0,0,65,21,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,856831,8,82,23,6,9,19,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,856831,16,74,4,0,17,19,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,856831,32,58,0,0,33,19,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,856831,64,26,0,0,65,19,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,848855,8,70,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,848855,16,62,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,848855,32,46,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,848855,64,14,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805751,8,65,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805751,16,57,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805751,32,41,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805751,64,9,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,764837,8,60,19,6,9,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,764837,16,52,8,0,17,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,764837,32,36,0,0,33,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,764837,64,4,0,0,65,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,761627,8,84,25,6,9,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,761627,16,76,6,0,17,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,761627,32,60,0,0,33,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,761627,64,28,0,0,65,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,754537,8,72,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,754537,16,64,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,754537,32,48,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,754537,64,16,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,716221,8,67,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,716221,16,59,10,0,17,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,716221,32,43,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,716221,64,11,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,679853,8,62,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,679853,16,54,10,0,17,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,679853,32,38,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,679853,64,6,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,677001,8,86,27,6,9,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,677001,16,78,8,0,17,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,677001,32,62,0,0,33,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,677001,64,30,0,0,65,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,670699,8,74,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,670699,16,66,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,670699,32,50,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,670699,64,18,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,636641,8,69,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,636641,16,61,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,636641,32,45,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,636641,64,13,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,604313,8,64,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,604313,16,56,10,0,17,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,604313,32,40,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,604313,64,8,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,573629,8,59,18,6,9,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,573629,16,51,7,0,17,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,573629,32,35,0,0,33,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,573629,64,3,0,0,65,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,565903,8,71,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,565903,16,63,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,565903,32,47,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,565903,64,15,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,537167,8,66,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,537167,16,58,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,537167,32,42,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,537167,64,10,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,509891,8,61,19,6,9,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,509891,16,53,8,0,17,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,509891,32,37,0,0,33,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,509891,64,5,0,0,65,23,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,507751,8,85,26,6,9,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,507751,16,77,7,0,17,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,507751,32,61,0,0,33,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,507751,64,29,0,0,65,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,477481,8,68,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,477481,16,60,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,477481,32,44,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,477481,64,12,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,453235,8,63,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,453235,16,55,10,0,17,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,453235,32,39,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,453235,64,7,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,424427,8,70,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,424427,16,62,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,424427,32,46,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,424427,64,14,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,402875,8,65,21,6,9,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,402875,16,57,10,0,17,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,402875,32,41,0,0,33,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,402875,64,9,0,0,65,25,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,382419,8,60,18,6,9,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,382419,16,52,7,0,17,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,382419,32,36,0,0,33,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,382419,64,4,0,0,65,22,13,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,358111,8,67,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,358111,16,59,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,358111,32,43,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,358111,64,11,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,339927,8,62,19,6,9,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,339927,16,54,8,0,17,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,339927,32,38,0,0,33,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,339927,64,6,0,0,65,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,322667,8,57,17,6,9,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,322667,16,49,6,0,17,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,322667,32,33,0,0,33,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,322667,64,1,0,0,65,21,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,282951,8,71,22,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,282951,16,63,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,282951,32,47,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,282951,64,15,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,268583,8,66,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,268583,16,58,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,268583,32,42,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,268583,64,10,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,254945,8,61,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,254945,16,53,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,254945,32,37,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,254945,64,5,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,226617,8,63,23,6,9,27,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,226617,16,55,12,0,17,27,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,226617,32,39,0,0,33,27,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,226617,64,7,0,0,65,27,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,215111,8,58,18,6,9,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,215111,16,50,7,0,17,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,215111,32,34,0,0,33,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,215111,64,2,0,0,65,22,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,191209,8,60,20,6,9,24,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,191209,16,52,9,0,17,24,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,191209,32,36,0,0,33,24,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,191209,64,4,0,0,65,24,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,179055,8,67,21,6,9,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,179055,16,59,10,0,17,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,179055,32,43,0,0,33,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,179055,64,11,0,0,65,25,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,169963,8,62,22,6,9,26,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,169963,16,54,11,0,17,26,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,169963,32,38,0,0,33,26,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,169963,64,6,0,0,65,26,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,143407,8,59,19,6,9,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,143407,16,51,8,0,17,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,143407,32,35,0,0,33,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,143407,64,3,0,0,65,23,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,105579,8,46,9,6,9,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,105579,16,38,0,0,17,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,105579,32,22,0,0,33,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,105579,64,0,0,0,65,15,13,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,991393,8,51,17,5,9,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,991393,16,43,2,0,17,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,991393,32,27,0,0,33,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,991393,64,0,0,0,65,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,941051,8,46,12,5,9,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,941051,16,38,0,0,17,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,941051,32,22,0,0,33,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,941051,64,0,0,0,65,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,940799,8,92,19,6,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940799,16,84,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940799,32,68,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940799,64,36,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,905209,8,75,19,7,9,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,905209,16,67,0,0,17,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,905209,32,51,0,0,33,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,905209,64,19,0,0,65,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,889819,8,51,8,5,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,889819,16,43,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,889819,32,27,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,889819,64,0,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,887289,8,94,25,5,9,26,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,887289,16,86,11,0,17,26,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,887289,32,70,0,0,33,26,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,887289,64,38,0,0,65,26,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836489,8,48,14,5,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836489,16,40,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836489,32,24,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836489,64,0,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836265,8,94,21,6,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836265,16,86,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836265,32,70,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,836265,64,38,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,750785,8,48,8,5,9,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,750785,16,40,0,0,17,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,750785,32,24,0,0,33,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,750785,64,0,0,0,65,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,743545,8,50,16,5,9,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,743545,16,42,1,0,17,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,743545,32,26,0,0,33,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,743545,64,0,0,0,65,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,678907,8,74,18,6,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,678907,16,66,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,678907,32,50,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,678907,64,18,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,653729,8,57,22,5,9,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,653729,16,49,3,0,17,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,653729,32,33,0,0,33,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,653729,64,1,0,0,65,17,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627367,8,47,13,5,9,13,12,CRITICAL_FORBIDDEN_GRAMMAR
